Period,EMR Capital Expenditures (Quarterly),EMR Gross Profit Margin (Quarterly),EMR Operating Margin (TTM),EMR Price,EMR Revenue (Quarterly)
2014-10-29 00:00:00,,,,63.3,
2014-10-28 00:00:00,,,,63.38,
2014-10-27 00:00:00,,,,62.27,
2014-10-24 00:00:00,,,,62.39,
2014-10-23 00:00:00,,,,62.05,
2014-10-22 00:00:00,,,,60.95,
2014-10-21 00:00:00,,,,62.96,
2014-10-20 00:00:00,,,,61.23,
2014-10-17 00:00:00,,,,61.22,
2014-10-16 00:00:00,,,,60.47,
2014-10-15 00:00:00,,,,59.35,
2014-10-14 00:00:00,,,,59.17,
2014-10-13 00:00:00,,,,58.67,
2014-10-10 00:00:00,,,,59.43,
2014-10-09 00:00:00,,,,59.66,
2014-10-08 00:00:00,,,,61.82,
2014-10-07 00:00:00,,,,61.0,
2014-10-06 00:00:00,,,,62.46,
2014-10-03 00:00:00,,,,62.42,
2014-10-02 00:00:00,,,,62.14,
2014-10-01 00:00:00,,,,61.4,
2014-09-30 00:00:00,194.0,42.4416,18.4293,62.58,6807.0
2014-09-29 00:00:00,,,,62.67,
2014-09-26 00:00:00,,,,63.04,
2014-09-25 00:00:00,,,,62.41,
2014-09-24 00:00:00,,,,64.21,
2014-09-23 00:00:00,,,,63.5,
2014-09-22 00:00:00,,,,64.25,
2014-09-19 00:00:00,,,,65.0,
2014-09-18 00:00:00,,,,64.74,
2014-09-17 00:00:00,,,,64.53,
2014-09-16 00:00:00,,,,64.41,
2014-09-15 00:00:00,,,,64.3,
2014-09-12 00:00:00,,,,64.49,
2014-09-11 00:00:00,,,,64.66,
2014-09-10 00:00:00,,,,65.01,
2014-09-09 00:00:00,,,,65.11,
2014-09-08 00:00:00,,,,64.98,
2014-09-05 00:00:00,,,,65.08,
2014-09-04 00:00:00,,,,64.64,
2014-09-03 00:00:00,,,,64.29,
2014-09-02 00:00:00,,,,64.31,
2014-08-29 00:00:00,,,,64.02,
2014-08-28 00:00:00,,,,64.26,
2014-08-27 00:00:00,,,,64.4,
2014-08-26 00:00:00,,,,64.34,
2014-08-25 00:00:00,,,,64.75,
2014-08-22 00:00:00,,,,64.6,
2014-08-21 00:00:00,,,,64.56,
2014-08-20 00:00:00,,,,64.48,
2014-08-19 00:00:00,,,,63.93,
2014-08-18 00:00:00,,,,63.82,
2014-08-15 00:00:00,,,,62.97,
2014-08-14 00:00:00,,,,62.95,
2014-08-13 00:00:00,,,,63.05,
2014-08-12 00:00:00,,,,62.67,
2014-08-11 00:00:00,,,,62.58,
2014-08-08 00:00:00,,,,62.8,
2014-08-07 00:00:00,,,,61.79,
2014-08-06 00:00:00,,,,61.85,
2014-08-05 00:00:00,,,,62.84,
2014-08-04 00:00:00,,,,63.99,
2014-08-01 00:00:00,,,,63.4,
2014-07-31 00:00:00,,,,63.65,
2014-07-30 00:00:00,,,,65.21,
2014-07-29 00:00:00,,,,66.1,
2014-07-28 00:00:00,,,,67.08,
2014-07-25 00:00:00,,,,67.43,
2014-07-24 00:00:00,,,,67.05,
2014-07-23 00:00:00,,,,67.02,
2014-07-22 00:00:00,,,,67.42,
2014-07-21 00:00:00,,,,67.36,
2014-07-18 00:00:00,,,,67.39,
2014-07-17 00:00:00,,,,66.98,
2014-07-16 00:00:00,,,,67.99,
2014-07-15 00:00:00,,,,67.5,
2014-07-14 00:00:00,,,,67.26,
